Year,Month,Year2,Month2,Winter rainfall anomaly
2010,6,2010,8,-130.03
1940,6,1940,8,-102.75
1971,6,1971,8,-102.29
1914,6,1914,8,-100.68
2001,6,2001,8,-99.61
2015,6,2015,8,-99.59
2006,6,2006,8,-92.36
1976,6,1976,8,-90.58
1969,6,1969,8,-81.01
2020,6,2020,8,-80.7
2012,6,2012,8,-79.15
1925,6,1925,8,-74.25
1989,6,1989,8,-71.06
1984,6,1984,8,-69.19
1979,6,1979,8,-67.51
1994,6,1994,8,-65.15
1977,6,1977,8,-63.59
1987,6,1987,8,-63.3
2008,6,2008,8,-62.37
2013,6,2013,8,-61.64
1954,6,1954,8,-57.9
2014,6,2014,8,-51.95
1911,6,1911,8,-51.07
1902,6,1902,8,-49.16
1993,6,1993,8,-47.29
1982,6,1982,8,-43.72
2023,6,2023,8,-43.07
2002,6,2002,8,-40.43
2005,6,2005,8,-40
1905,6,1905,8,-38.29
1997,6,1997,8,-37.34
1980,6,1980,8,-36.71
1944,6,1944,8,-34.34
2019,6,2019,8,-33.59
1990,6,1990,8,-31.43
1986,6,1986,8,-30.76
2017,6,2017,8,-30.21
1937,6,1937,8,-26.87
2016,6,2016,8,-26.02
2007,6,2007,8,-25.75
1901,6,1901,8,-23.02
1959,6,1959,8,-22.84
1953,6,1953,8,-22.68
2022,6,2022,8,-21.57
1938,6,1938,8,-18.17
1985,6,1985,8,-15.54
2011,6,2011,8,-15.47
1975,6,1975,8,-14.99
1921,6,1921,8,-14.39
2003,6,2003,8,-14.32
1943,6,1943,8,-13.27
1950,6,1950,8,-12.9
1929,6,1929,8,-12.56
1956,6,1956,8,-11.77
1960,6,1960,8,-11.77
1972,6,1972,8,-10.65
2004,6,2004,8,-8.73
1952,6,1952,8,-8.58
1962,6,1962,8,-7.98
1924,6,1924,8,-2.37
1912,6,1912,8,-0.07
1978,6,1978,8,0.08
1999,6,1999,8,0.62
1908,6,1908,8,1.67
1970,6,1970,8,2.54
1995,6,1995,8,3.18
1951,6,1951,8,5.37
1918,6,1918,8,7.82
1981,6,1981,8,9.83
1998,6,1998,8,9.92
1922,6,1922,8,10.15
1919,6,1919,8,12.89
1965,6,1965,8,13.49
1941,6,1941,8,15.92
2018,6,2018,8,16.4
1927,6,1927,8,18.22
1949,6,1949,8,20.07
2021,6,2021,8,20.09
1966,6,1966,8,23.31
1948,6,1948,8,25.28
1968,6,1968,8,25.89
2009,6,2009,8,27.45
1947,6,1947,8,29.59
2000,6,2000,8,29.79
1936,6,1936,8,29.92
1974,6,1974,8,33.71
1957,6,1957,8,37.78
1931,6,1931,8,38.57
1991,6,1991,8,39.98
1909,6,1909,8,41.08
1906,6,1906,8,44.97
1992,6,1992,8,45.02
1904,6,1904,8,45.45
1903,6,1903,8,47.46
1973,6,1973,8,48.12
1958,6,1958,8,49.09
1935,6,1935,8,51.15
1988,6,1988,8,51.62
1933,6,1933,8,52.59
1934,6,1934,8,55.16
1961,6,1961,8,60.15
1916,6,1916,8,67.89
1928,6,1928,8,69.08
1942,6,1942,8,71.93
1913,6,1913,8,77.1
1923,6,1923,8,78.28
1932,6,1932,8,78.35
1967,6,1967,8,79.08
1930,6,1930,8,82.05
1996,6,1996,8,84.38
1915,6,1915,8,88.08
1907,6,1907,8,89.09
1983,6,1983,8,92.18
1926,6,1926,8,94.28
1955,6,1955,8,101.83
1900,6,1900,8,122.97
1963,6,1963,8,124.32
1920,6,1920,8,133.9
1910,6,1910,8,144.65
1946,6,1946,8,149.65
1939,6,1939,8,158.08
1917,6,1917,8,194.06
1964,6,1964,8,236.05
1945,6,1945,8,271.46
