"year","rain_anom","temp_anom","rain_dir","temp_dir"
1902,-0.308502273984615,-0.0764516152222221,"neg","neg"
1903,0.456519487408114,-1.80135739938889,"pos","neg"
1904,0.761555638687313,0.848583495611111,"pos","pos"
1905,1.11611946180648,0.258658798944444,"pos","pos"
1906,0.122825170971862,-0.274369785222223,"pos","neg"
1907,0.324043808964693,-0.576203790222222,"pos","neg"
1908,-0.234718616658133,-0.802610114388889,"neg","neg"
1909,0.0366065329790302,-1.00458704772222,"pos","neg"
1910,0.436596292323628,-0.339005888555556,"pos","neg"
1911,-0.557887194619536,-0.179750255222222,"neg","neg"
1912,-0.0959227323422261,0.394915902277777,"neg","pos"
1913,0.261824146906322,-1.00491437188889,"pos","neg"
1914,-0.567323958572429,0.492516968111111,"neg","pos"
1915,0.821337715774729,0.108101993944444,"pos","pos"
1916,0.120994521396496,-0.0737807927222227,"pos","neg"
1917,0.775898007633408,-1.43337655105556,"pos","neg"
1918,0.440200362984151,0.0961944422777772,"pos","pos"
1919,0.0575057905315136,0.193410904777778,"pos","pos"
1920,0.407423578373384,-0.0626950860555556,"pos","neg"
1921,0.63992194516541,0.324895161444444,"pos","pos"
1922,0.23833976390581,-0.95832744438889,"pos","neg"
1923,0.817681801796235,-0.453382488555556,"pos","neg"
1924,0.488188316971826,-0.835054186055555,"pos","neg"
1925,0.0264958058924967,-0.889996031888889,"pos","neg"
1926,1.0043535887906,-1.05656642855556,"pos","neg"
1927,0.487880214494647,-0.712845451055556,"pos","neg"
1928,0.487460347623167,-0.494083354388889,"pos","neg"
1929,0.150027551924243,-0.938575780222223,"pos","neg"
1930,0.56745842750028,0.339604098111111,"pos","pos"
1931,0.477768847367151,-0.635284690222222,"pos","neg"
1932,0.844808017874063,-0.578928864388889,"pos","neg"
1933,0.243948442861263,0.110457845611111,"pos","pos"
1934,0.698805713726598,-0.458007424388889,"pos","neg"
1935,0.356385718846926,-0.690056196888889,"pos","neg"
1936,0.194766304859603,0.0783770947777775,"pos","pos"
1937,0.0105824674388356,0.149488380611111,"pos","pos"
1938,-0.0457801797705858,-0.351762190222223,"neg","neg"
1939,0.865241325605758,-0.43576383130303,"pos","neg"
1940,-0.492279486760716,0.307071013944445,"neg","pos"
1941,0.0687071474183543,-0.27736263938889,"pos","neg"
1942,0.507385462830541,-1.13586904855556,"pos","neg"
1943,0.230139559092702,-1.29692511438889,"pos","neg"
1944,-0.486455422986152,0.0651858939444436,"neg","pos"
1945,0.780992093654914,-0.275685334388889,"pos","neg"
1946,0.540876246240679,-0.747692901055555,"pos","neg"
1947,0.367243373736839,-0.810821045222222,"pos","neg"
1948,-0.241697358470023,0.289310229777777,"neg","pos"
1949,-0.11599843373884,0.290524747277778,"neg","pos"
1950,-0.211022755295419,0.0824784322777776,"neg","pos"
1951,0.493022303588349,-0.801489446888889,"pos","neg"
1952,0.00159271692238881,-0.539381527722222,"pos","neg"
1953,0.225711755713285,-0.152924798555555,"pos","neg"
1954,-0.355243185402946,0.319141346444445,"neg","pos"
1955,1.37368858623044,-1.52666537188889,"pos","neg"
1956,-0.0276539769349836,-0.224455506888889,"neg","neg"
1957,-0.164384250431108,0.680441864777777,"neg","pos"
1958,0.133278319973398,0.197393086444444,"pos","pos"
1959,-0.160764818787483,0.363946973111111,"neg","pos"
1960,0.0962342939833207,-0.812589515222223,"pos","neg"
1961,0.0504903015402181,0.686899698111111,"pos","pos"
1962,-0.0376740609789831,0.754388028944444,"neg","pos"
1963,0.566166184796747,-0.134599846888889,"pos","neg"
1964,0.626082273219509,-0.957010373555556,"pos","neg"
1965,0.135047393194084,-0.536174986055556,"pos","neg"
1966,-0.191416380487432,-0.641051040222223,"neg","neg"
1967,0.214553921611903,0.066662953944444,"pos","pos"
1968,0.21702004358164,-1.54962809772222,"pos","neg"
1969,-0.553874777824861,0.264206478111111,"neg","pos"
1970,-0.0308345832524086,0.131775600611111,"neg","pos"
1971,-0.100219503887329,-1.10995562188889,"neg","neg"
1972,-0.475777200269553,1.36315400727778,"neg","pos"
1973,0.225966492016409,-0.256609310222222,"pos","neg"
1974,0.465898647674371,0.0801620589444444,"pos","pos"
1975,-0.0308909068571193,0.112092421444444,"neg","pos"
1976,0.0158978090000059,0.895571817277777,"pos","pos"
1977,-0.242190190011241,1.27827166227778,"neg","pos"
1978,0.00173454117155451,0.947658856444445,"pos","pos"
1979,-0.432322038449541,0.377932153944444,"neg","pos"
1980,0.128659519542584,0.392562212277777,"pos","pos"
1981,-0.0392447215012565,-0.341052252722222,"neg","neg"
1982,-0.194562181818717,0.0989088581111105,"neg","pos"
1983,0.41647468454073,0.305666190611111,"pos","pos"
1984,-0.142320272819299,-0.842534105222222,"neg","neg"
1985,-0.213943902248824,0.402693419777778,"neg","pos"
1986,-0.146153323651794,-0.88102217188889,"neg","neg"
1987,-0.254349688219126,0.0348520356111108,"neg","pos"
1988,0.0832411534568098,0.206004568944444,"pos","pos"
1989,-0.134151275520714,-0.359737016055556,"neg","neg"
1990,0.0726920424516365,-0.790088200222223,"pos","neg"
1991,0.123296241120351,0.402478498111111,"pos","pos"
1992,0.214369104266351,-0.590810583555556,"pos","neg"
1993,-0.0417792837132381,-0.0766255510555562,"neg","neg"
1994,-0.467912796258041,1.50718977311111,"neg","pos"
1995,0.108316722431155,0.460172718111111,"pos","pos"
1996,0.204638384948591,1.05922348311111,"pos","pos"
1997,-0.301766482893986,0.934278918944444,"neg","pos"
1998,0.0466935785499468,0.625827158944444,"pos","pos"
1999,0.180130598519225,0.893234122277777,"pos","pos"
2000,-0.090747537681492,0.510420058944444,"neg","pos"
2001,-0.367951198715798,0.264048943111111,"neg","pos"
2002,-0.298305141368128,0.992726414777778,"neg","pos"
2003,0.114194858631872,0.51488044061111,"pos","pos"
2004,-0.139763728510809,0.482813504777778,"neg","pos"
2005,0.164627526322604,-0.341190348555556,"pos","neg"
2006,-0.470665612438276,0.929433050611111,"neg","pos"
2007,-0.0843215264167711,0.436192523944444,"neg","pos"
2008,-0.132241790555055,0.168085720611111,"neg","pos"
2009,-0.108906779872992,0.945708012277778,"neg","pos"
2010,-0.789746513615952,1.48481208227778,"neg","pos"
2011,0.424575042963669,0.704973884777778,"pos","pos"
2012,-0.136735054675683,0.815110500611111,"neg","pos"
2013,-0.0028225504823113,0.969054145611111,"neg","pos"
2014,-0.0960701183266533,1.08923783811111,"neg","pos"
2015,-0.290997153656914,1.52206810061111,"neg","pos"
2016,-0.0562493297961874,-0.500033176888889,"neg","neg"
2017,0.702348980495671,0.375074372277777,"pos","pos"
2018,-0.0728686334316201,0.459360726444445,"neg","pos"
2019,-0.229761874599055,1.64110419811111,"neg","pos"
2020,-0.296970501468416,0.929542586444444,"neg","pos"
2021,0.661401719870991,-0.116850302722223,"pos","neg"
2022,-0.196771603221687,0.38464397811111,"neg","pos"
2023,-0.0854428781832841,1.13096274894444,"neg","pos"
2024,-0.529606721312923,1.95746384783333,"neg","pos"
